Size: 8192
Time: 24777603 microseconds
Result;Time;I/0s
7;7;3
11;5;3
12;7;4
2;5;3
9;6;3
3;12;4
14;6;3
9;7;4
7;7;4
13;7;4
11;7;4
5;3;2
9;7;4
17;9;5
12;9;5
7;10;6
10;8;5
2;4;3
9;6;4
9;8;5
15;6;4
9;6;4
11;8;5
13;3;2
10;9;5
16;9;5
7;5;3
5;3;2
13;7;4
8;7;4
12;8;5
9;5;3
8;5;3
7;5;3
16;6;4
11;7;4
12;7;4
10;4;3
17;5;3
10;5;3
16;6;3
11;6;3
8;8;5
15;8;5
9;9;5
12;8;5
8;4;3
15;7;4
8;8;5
13;8;5
12;7;4
12;7;4
12;6;4
13;8;5
10;4;3
10;5;3
12;9;5
10;5;3
4;5;3
7;5;3
16;7;4
19;7;4
8;8;5
10;3;2
15;7;4
8;7;4
13;5;3
10;8;5
4;5;3
16;4;2
14;12;5
11;7;4
10;8;5
16;7;4
8;7;4
11;5;3
9;9;5
8;7;4
5;6;4
6;7;4
10;9;5
7;6;4
10;8;5
12;6;4
10;6;4
9;6;4
15;8;5
8;5;3
12;7;4
11;8;5
12;7;4
13;9;5
9;5;3
15;11;6
4;6;4
16;8;4
16;7;4
12;5;3
5;3;2
10;5;3
