Size: 262144
Time: 45360354394 microseconds
Result;Time;I/0s
243;51;17
293;39;19
305;31;16
306;25;12
320;39;18
342;34;18
322;36;19
316;33;17
346;39;21
302;38;22
353;40;21
321;34;19
347;37;20
344;37;21
312;36;19
320;39;21
348;36;20
305;38;18
339;39;20
337;44;24
331;34;17
339;44;24
340;35;19
354;36;20
331;49;24
330;39;21
340;42;24
333;45;25
331;34;19
334;43;23
304;47;23
346;33;18
346;44;25
320;47;25
320;39;22
317;36;19
299;37;22
337;46;22
297;38;22
357;39;21
321;39;23
313;37;22
291;40;23
315;44;22
332;43;24
355;39;22
357;42;23
321;38;22
340;38;20
308;48;24
344;45;24
317;41;24
351;37;21
303;44;25
306;39;23
354;36;20
331;46;24
316;42;23
321;36;21
369;39;20
333;44;26
307;44;24
347;42;19
303;41;24
353;41;21
349;42;23
301;37;20
322;38;20
353;39;19
349;43;24
316;49;26
330;48;28
320;40;23
316;39;23
327;38;19
346;42;23
342;51;29
298;42;24
392;43;22
320;42;23
336;43;21
319;39;21
305;37;20
328;42;22
321;34;20
344;44;24
331;38;21
334;50;25
354;31;16
310;40;22
336;38;20
386;34;18
312;38;21
349;39;20
311;36;17
338;32;16
302;37;20
339;40;22
334;39;21
328;34;17
