Size: 4096
Time: 18991 microseconds
Result;Time;I/0s
5;8;5
6;7;5
8;12;8
5;9;6
6;8;6
3;12;8
6;12;8
3;15;10
8;15;10
3;14;9
10;10;6
4;10;7
5;38;12
9;13;6
3;14;7
8;29;10
2;15;7
2;62;13
3;28;13
9;61;12
2;30;13
4;26;12
4;20;9
3;20;9
5;29;13
7;30;9
4;39;12
6;24;11
5;28;13
9;28;13
5;28;13
6;48;13
6;30;13
1;30;14
5;26;8
4;26;12
9;31;14
6;29;13
6;25;11
7;26;12
3;24;11
5;23;10
5;22;9
8;24;13
3;16;11
7;18;12
3;14;10
8;19;12
4;47;11
3;34;15
4;62;13
7;33;15
5;31;13
9;17;7
1;24;11
5;21;13
6;17;12
7;18;11
9;20;12
7;20;13
5;13;9
1;16;10
10;10;6
2;17;8
4;19;12
4;20;10
6;15;10
8;12;8
5;16;10
4;18;11
2;16;10
2;5;4
3;7;5
7;13;9
6;14;9
6;15;9
5;17;10
5;15;9
4;18;11
5;12;8
5;12;8
8;14;8
1;25;8
3;9;7
7;11;7
3;13;9
2;9;6
5;9;6
4;11;8
4;8;6
5;8;6
4;9;7
8;8;6
3;9;7
3;9;6
3;7;5
10;9;6
3;9;6
4;24;7
2;8;6
