Size: 2048
Time: 11788987 microseconds
Result;Time;I/0s
1;2;2
0;3;3
2;2;2
3;2;2
2;2;2
1;5;4
1;7;5
2;5;4
3;7;5
0;24;4
2;7;5
2;7;5
4;21;4
2;29;4
1;26;4
3;6;4
4;9;6
2;5;4
2;5;4
0;6;5
5;6;4
2;5;4
3;5;4
2;5;4
3;12;4
0;5;4
3;7;5
5;4;3
0;5;4
4;2;2
4;5;4
0;3;3
5;4;3
5;4;3
2;4;3
4;2;2
0;5;4
1;3;3
2;4;3
3;5;4
3;6;4
3;4;3
0;3;3
2;5;4
3;7;5
3;19;4
1;2;2
3;5;4
4;4;3
5;6;4
3;4;3
2;26;5
1;7;5
1;5;4
3;6;4
2;5;4
5;6;4
1;18;4
1;8;6
3;21;2
2;4;3
1;2;2
3;5;4
2;4;3
3;17;3
4;4;3
4;10;4
2;5;4
1;3;3
2;5;4
8;7;5
4;4;3
3;4;3
3;5;4
1;2;2
6;5;4
2;3;3
2;5;4
2;4;3
1;6;5
1;3;3
3;4;3
2;25;4
0;3;3
2;7;5
2;4;3
2;4;3
3;3;2
1;3;3
4;4;3
5;3;2
3;2;2
4;4;3
2;2;2
7;2;2
0;3;3
1;2;2
2;2;2
2;2;2
2;2;2
