Size: 2048
Time: 7056 microseconds
Result;Time;I/0s
0;6;6
1;12;9
1;11;9
4;7;5
7;13;10
0;7;7
2;10;9
1;8;6
4;5;5
3;8;7
2;7;5
1;11;9
4;10;9
1;13;11
4;9;7
3;12;10
3;12;10
1;9;8
4;7;5
4;9;7
2;9;7
3;15;12
2;8;6
5;13;10
4;13;11
1;10;8
4;17;14
2;14;12
2;15;12
4;15;12
5;16;13
4;14;10
0;14;11
2;13;10
1;11;9
0;18;15
4;12;9
1;13;11
1;9;7
3;16;12
3;18;11
5;15;11
3;14;11
1;13;11
0;10;8
3;16;12
2;10;8
2;16;12
2;13;11
2;13;11
1;15;12
3;14;11
1;15;12
2;11;9
4;13;10
4;17;13
4;13;10
3;14;11
4;9;7
0;15;12
0;10;8
0;16;13
1;12;9
3;10;8
1;12;9
5;13;10
2;12;9
2;16;12
3;11;8
1;14;11
0;11;9
1;13;10
2;14;11
2;10;8
1;14;11
1;7;6
3;14;10
3;15;11
4;15;8
5;11;8
2;7;6
6;8;6
1;8;6
3;15;11
2;8;6
1;10;8
2;8;6
3;8;6
1;12;9
3;8;6
1;9;7
3;11;8
2;8;6
2;9;7
0;9;7
2;8;6
3;10;7
2;8;6
0;7;6
1;8;6
