Size: 262144
Time: 3615333 microseconds
Result;Time;I/0s
335;125;45
314;56;23
348;85;37
312;125;52
304;134;61
346;105;46
326;108;51
344;98;43
330;126;57
312;128;56
325;108;49
304;126;58
347;105;46
314;143;68
343;127;56
351;128;60
308;126;55
317;147;67
313;147;67
331;148;70
316;153;61
320;176;63
319;98;63
336;109;73
332;104;65
324;117;68
347;105;73
312;109;72
332;99;70
309;103;67
315;89;60
334;109;72
339;110;75
329;101;73
204;70;50
352;105;68
322;97;67
337;104;67
320;78;52
330;129;91
322;130;91
346;88;60
320;133;90
362;115;80
332;147;102
349;88;59
322;126;90
337;105;69
290;55;36
327;113;80
343;103;69
344;130;92
340;127;87
319;122;88
308;67;46
328;126;88
317;83;57
324;118;82
350;118;82
309;61;41
337;112;78
219;68;48
341;120;84
322;109;73
322;126;89
306;69;46
318;124;87
367;115;81
336;121;84
316;109;76
329;128;90
334;115;81
325;121;86
366;107;74
335;120;85
353;109;75
322;112;76
341;112;77
320;117;73
329;127;89
342;144;80
328;180;79
313;109;71
345;102;61
363;129;87
341;118;51
322;135;83
340;114;78
336;94;61
357;103;70
324;107;68
314;104;70
311;84;58
321;111;72
297;86;57
308;82;54
338;94;59
338;83;51
303;81;56
309;77;49
