Size: 32768
Time: 394735 microseconds
Result;Time;I/0s
48;32;19
41;29;19
52;26;17
41;25;17
43;31;20
44;20;15
45;32;17
36;24;17
32;38;26
41;22;15
33;19;14
33;22;16
46;34;25
37;33;22
42;34;23
46;38;22
50;38;25
49;37;25
46;35;25
35;40;28
32;34;23
39;34;24
36;46;30
46;41;29
44;25;17
32;26;19
47;34;25
33;34;25
33;33;24
31;23;17
43;33;21
37;45;31
39;39;26
45;37;26
32;35;25
41;33;24
46;28;20
42;38;24
44;39;27
43;38;27
38;34;24
33;42;30
42;40;28
45;41;29
39;45;28
46;39;27
49;45;31
40;42;29
37;43;30
44;40;29
39;51;28
43;63;30
47;73;28
46;30;20
51;41;27
46;43;28
43;49;28
33;27;18
37;43;28
46;43;29
46;44;30
41;48;31
39;49;28
39;38;25
49;49;31
45;31;21
35;47;30
43;50;32
43;50;30
38;42;29
35;43;29
34;40;27
38;47;31
39;41;26
33;45;29
35;39;25
42;41;27
45;42;27
32;40;25
42;38;26
46;36;23
36;32;18
42;35;23
39;40;27
42;32;22
53;38;25
33;35;23
43;44;28
24;46;27
52;36;23
36;35;22
44;25;17
49;31;20
41;37;23
39;23;15
34;30;20
43;32;19
46;22;14
41;27;18
50;31;20
