Size: 65536
Time: 848148 microseconds
Result;Time;I/0s
52;29;18
95;37;27
73;33;21
79;41;27
81;49;29
87;41;30
72;40;26
92;52;34
47;23;16
82;46;32
89;48;29
82;56;38
91;57;40
89;35;25
82;52;34
73;70;45
88;52;37
73;56;39
79;43;29
88;59;43
56;62;41
72;62;45
83;43;30
88;56;39
72;41;30
69;72;50
80;67;49
83;64;46
82;50;33
71;78;54
84;59;43
96;70;52
78;72;52
83;77;51
84;48;35
85;67;49
87;62;44
82;64;45
69;58;38
77;76;54
71;39;27
94;76;56
64;119;47
79;66;32
94;56;40
91;70;49
89;73;48
71;44;30
87;70;49
70;61;42
80;79;53
74;74;52
76;255;41
75;130;45
75;66;43
75;154;47
67;76;44
99;61;44
94;69;44
81;56;40
67;59;42
88;45;32
97;59;40
84;68;44
80;60;41
83;56;37
73;66;44
79;66;41
78;65;45
79;64;46
76;40;27
73;55;39
82;67;43
97;59;40
84;59;41
89;58;39
85;56;37
95;69;44
82;58;39
91;53;35
92;61;40
82;63;39
93;57;38
64;61;42
80;65;45
91;60;40
64;60;37
83;63;44
79;57;39
76;63;45
73;64;40
68;53;35
85;54;36
85;62;43
73;56;38
80;56;34
85;52;35
92;43;29
74;43;29
51;42;29
