Size: 16384
Time: 94437778 microseconds
Result;Time;I/0s
9;6;4
9;7;5
22;10;6
24;9;6
23;9;6
20;9;6
24;9;6
26;11;7
17;12;8
21;7;5
24;9;6
25;8;6
24;8;6
18;13;8
29;10;7
24;15;7
22;11;7
23;12;8
23;13;8
27;9;6
18;11;7
22;12;8
22;11;7
21;11;7
25;8;6
18;12;8
30;7;5
18;12;8
21;11;7
26;12;8
21;13;8
26;13;8
24;13;8
23;12;8
15;10;7
23;13;8
20;13;6
23;9;6
13;9;6
18;9;6
30;11;7
22;9;6
15;8;6
20;13;8
22;8;5
22;9;6
22;9;6
24;10;7
25;9;6
20;11;7
22;10;7
21;10;7
27;9;6
25;10;7
17;11;7
20;10;7
22;9;6
18;12;8
14;10;7
20;9;6
15;13;6
24;9;6
19;11;8
28;11;7
18;8;6
30;11;8
15;12;8
22;10;7
19;12;8
23;8;6
19;11;8
16;11;8
22;13;9
19;11;8
17;9;7
26;9;7
28;13;9
14;11;8
15;8;6
16;10;7
23;9;7
15;12;8
21;14;7
21;12;8
21;7;5
24;7;5
20;11;8
23;12;8
21;9;6
20;10;7
17;10;7
18;12;8
31;8;6
17;8;6
17;10;7
17;9;6
20;6;4
23;9;6
20;10;7
13;6;5
