Size: 16384
Time: 194676 microseconds
Result;Time;I/0s
9;18;11
9;15;10
22;13;8
24;16;11
23;24;15
20;30;15
24;17;11
26;26;16
17;24;15
21;21;14
24;21;13
25;21;13
24;23;14
18;27;16
29;15;10
24;15;10
22;22;13
23;33;17
23;28;19
27;27;16
18;29;19
22;33;21
22;37;23
21;23;15
25;29;19
18;30;20
30;27;14
18;33;21
21;32;21
26;29;19
21;29;18
26;31;21
24;31;21
23;36;23
15;35;19
23;38;24
20;21;14
23;20;13
13;17;11
18;25;17
30;34;22
22;32;21
15;33;21
20;30;17
22;33;17
22;34;22
22;27;17
24;26;18
25;34;22
20;31;20
22;24;16
21;28;20
27;24;15
25;38;22
17;26;17
20;31;20
22;18;11
18;27;18
14;22;14
20;35;21
15;35;21
24;21;13
19;32;17
28;30;18
18;29;19
30;28;14
15;30;17
22;26;15
20;27;16
23;20;13
19;30;18
16;22;14
23;26;16
19;28;17
17;19;13
26;20;13
28;25;15
14;27;17
15;21;14
16;25;16
23;24;15
15;26;16
21;26;16
21;32;19
21;24;15
24;24;16
20;26;17
23;23;14
21;24;16
20;19;12
17;22;14
18;23;14
31;21;13
17;22;14
17;20;13
17;26;11
20;24;12
23;19;12
20;18;11
13;18;13
