Size: 32768
Time: 385550743 microseconds
Result;Time;I/0s
48;28;7
41;13;7
52;14;7
40;13;7
43;14;8
44;17;8
45;15;8
36;13;8
32;27;8
41;17;11
33;36;10
33;14;9
46;37;10
37;35;9
42;20;11
46;31;10
50;15;9
49;15;9
46;16;10
35;16;10
32;9;6
39;12;8
36;16;9
46;14;8
44;14;9
32;13;9
47;15;9
33;17;10
33;13;8
31;15;9
43;15;9
37;21;10
39;17;10
45;14;8
32;15;9
41;15;9
46;14;8
42;18;10
44;14;8
43;14;8
38;29;9
33;13;8
42;14;8
45;12;7
39;14;8
46;19;11
49;15;9
40;21;9
37;14;8
44;13;8
39;15;9
43;15;9
47;14;9
46;10;7
51;16;10
46;14;9
43;12;7
33;9;6
37;13;8
46;16;9
46;16;10
41;15;9
39;11;7
39;13;8
48;13;9
45;18;8
35;14;9
43;10;7
43;12;8
38;15;9
34;13;8
33;13;8
38;11;7
38;12;8
33;14;9
35;20;11
42;13;8
45;15;10
32;15;10
42;16;10
46;17;10
36;22;11
42;14;8
39;11;7
40;18;11
53;14;8
33;13;8
43;16;10
24;11;7
52;15;9
36;18;10
44;12;8
49;17;10
41;13;8
39;13;8
34;15;9
43;11;7
46;12;8
41;12;7
50;13;8
