Size: 65536
Time: 1665792126 microseconds
Result;Time;I/0s
52;13;7
95;19;10
73;15;8
79;24;13
80;19;11
87;22;12
72;17;9
92;24;10
47;16;9
82;20;12
89;20;12
82;20;11
91;21;12
89;18;10
82;19;11
73;70;14
88;31;12
73;76;14
79;52;11
87;26;14
55;39;15
71;28;16
83;17;10
88;22;12
72;20;11
69;25;14
80;27;16
81;26;15
82;25;12
71;27;16
84;23;13
95;23;13
78;28;17
83;27;16
84;21;12
85;28;17
87;21;12
82;22;13
69;21;12
77;51;16
71;43;14
94;42;16
64;25;15
79;28;17
94;20;11
91;27;16
89;25;14
71;23;14
87;26;15
70;25;13
80;28;16
74;26;16
76;42;13
75;36;14
75;25;15
75;24;15
67;20;12
98;22;13
94;26;16
80;23;14
67;32;16
88;20;12
95;24;15
84;26;16
80;23;14
82;28;16
72;25;15
78;24;15
78;22;13
79;23;14
76;18;11
73;30;16
82;26;16
97;28;17
84;23;14
89;25;15
85;22;13
95;27;17
82;27;16
91;22;13
92;26;15
82;33;17
93;26;15
64;23;15
80;25;16
91;30;17
63;21;13
83;24;15
79;31;18
76;22;14
73;26;16
68;25;12
85;27;15
84;20;12
73;21;13
80;30;17
84;25;15
92;24;14
74;26;15
51;17;11
