Size: 1024
Time: 1859157 microseconds
Result;Time;I/0s
1;16;2
1;2;2
1;7;2
1;2;2
2;2;3
2;4;3
1;3;3
3;3;3
3;4;3
5;4;3
3;2;2
1;3;3
2;2;2
2;4;3
4;4;4
0;3;3
2;3;4
3;4;3
2;2;3
1;2;3
2;3;3
1;2;3
0;3;3
1;3;3
0;4;4
1;3;3
2;4;3
2;3;3
0;3;3
1;2;3
0;2;2
2;2;3
2;2;2
1;1;2
2;1;2
3;6;4
0;2;3
2;2;2
1;3;3
1;3;3
1;6;3
1;4;3
1;6;4
0;3;3
1;4;3
0;5;4
0;5;4
1;5;4
1;5;4
2;3;3
1;5;4
1;3;3
2;11;4
1;5;4
3;3;3
1;2;2
0;5;4
1;5;4
2;3;3
2;5;4
1;4;3
0;2;2
0;15;2
2;25;4
0;5;4
3;5;4
2;5;4
1;4;3
2;5;4
0;3;3
1;2;2
0;3;3
1;3;3
1;3;3
3;6;5
1;4;4
2;4;3
0;3;3
0;4;4
0;5;4
0;3;3
0;5;4
0;1;2
0;2;3
2;5;4
2;5;4
2;3;3
1;3;3
3;23;3
0;1;2
1;3;3
1;1;2
0;3;3
0;1;2
1;2;2
2;2;2
1;3;3
2;3;3
2;3;3
0;1;2
