Size: 1024
Time: 2791 microseconds
Result;Time;I/0s
2;4;3
1;1;2
2;2;2
1;4;4
1;1;2
2;4;4
0;4;4
3;5;4
1;2;3
0;4;4
2;3;3
1;4;4
3;5;4
2;5;4
0;5;5
1;5;5
3;3;3
1;2;2
2;3;3
3;3;3
1;2;2
1;3;3
1;4;4
2;3;3
2;4;4
1;6;6
2;3;3
1;3;3
0;4;4
0;1;2
2;4;4
1;8;7
4;3;3
4;8;7
2;3;3
2;3;3
1;4;4
1;2;3
0;4;4
2;9;3
1;2;3
0;3;3
0;3;3
1;6;5
1;3;3
0;1;2
2;5;4
3;6;5
1;4;4
6;6;4
1;4;4
2;5;4
1;3;3
2;4;4
1;3;3
2;7;5
0;4;4
2;4;4
0;5;4
0;4;4
0;3;3
1;3;3
4;5;4
2;4;4
0;4;4
1;4;4
2;5;4
0;4;4
1;4;4
2;4;4
1;4;4
1;4;3
0;6;5
1;3;3
2;4;4
2;5;4
2;4;4
1;4;3
0;4;4
1;4;3
1;4;3
0;4;4
1;3;3
1;4;4
3;4;3
0;3;3
2;4;4
1;3;3
0;3;3
1;3;3
7;5;4
2;6;5
2;4;3
5;4;3
2;5;4
1;2;2
1;4;4
1;4;3
0;3;3
2;2;2
