Size: 4096
Time: 6989032 microseconds
Result;Time;I/0s
3;4;2
3;6;4
5;7;4
6;6;4
8;18;3
4;4;3
7;5;3
4;6;4
5;3;2
5;5;3
5;8;5
7;8;5
3;4;3
2;7;5
6;8;5
7;6;4
9;7;4
8;35;5
4;6;4
7;6;4
5;11;5
4;25;5
4;6;4
9;14;5
7;18;3
3;6;4
4;6;4
3;8;5
6;6;4
2;4;3
6;7;4
5;7;4
7;4;3
4;6;4
2;4;3
7;20;4
7;6;4
2;6;4
8;5;3
8;6;4
3;7;5
4;6;4
2;4;3
5;6;4
6;5;3
3;5;4
11;6;4
5;6;4
8;6;4
3;8;5
5;6;4
6;6;4
8;3;2
6;2;2
4;7;5
2;7;5
3;3;3
8;6;4
2;5;4
5;10;3
9;5;3
5;4;3
5;5;3
9;5;3
6;7;5
4;5;3
8;6;5
6;6;4
5;5;4
6;8;6
2;3;3
5;4;3
5;4;3
7;6;4
6;4;3
8;19;4
5;3;2
4;3;2
8;5;4
5;4;3
4;2;2
5;4;3
10;3;2
5;6;4
4;4;3
9;18;3
5;24;3
3;18;3
7;5;3
4;4;3
6;4;3
4;3;3
6;3;2
8;4;3
8;3;2
6;5;3
5;3;3
5;3;2
6;3;2
6;4;3
